season,week,date,time_et,neutral,away,home,score_away,score_home,first_downs_away,first_downs_home,first_downs_from_passing_away,first_downs_from_passing_home,first_downs_from_rushing_away,first_downs_from_rushing_home,first_downs_from_penalty_away,first_downs_from_penalty_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,plays_away,plays_home,drives_away,drives_home,yards_away,yards_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,sacks_num_away,sacks_yards_away,sacks_num_home,sacks_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,redzone_comp_away,redzone_att_away,redzone_comp_home,redzone_att_home,fumbles_away,fumbles_home,interceptions_away,interceptions_home,def_st_td_away,def_st_td_home,possession_away,possession_home
2016,16,2016-12-24,1:00 PM,False,Vikings,Packers,25,38,22,19,18,18,4,1,0,0,5,15,6,13,3,3,0,0,74,58,14,12,446,348,34,50,353,28,39,308,4,29,4,39,20,93,15,40,8,70,3,21,2,4,3,4,2,0,0,0,0,0,31:01,28:59
2016,17,2017-01-01,8:30 PM,False,Packers,Lions,31,24,28,24,17,19,9,5,2,0,7,13,5,12,0,0,0,0,71,64,11,10,448,408,27,39,295,26,41,332,1,5,2,15,31,153,21,76,10,75,5,30,4,4,2,3,0,0,0,1,0,0,34:09,25:51
2016,Wildcard,2017-01-08,4:40 PM,False,Giants,Packers,13,38,15,23,12,17,3,5,0,1,5,16,5,14,1,1,1,2,63,70,13,14,365,406,23,44,295,25,40,331,2,4,5,31,17,70,25,75,3,42,2,21,0,2,3,4,1,0,1,0,0,0,25:29,34:31
2016,Division,2017-01-15,4:40 PM,False,Packers,Cowboys,34,31,27,25,18,16,6,7,3,2,6,11,6,11,0,0,0,0,63,64,10,9,413,429,28,43,326,24,38,291,3,29,2,11,17,87,24,138,3,22,6,50,3,3,2,4,0,0,1,1,0,0,29:46,30:14
2016,Conference,2017-01-22,3:05 PM,False,Packers,Falcons,21,44,24,30,18,22,5,6,1,2,4,10,10,13,2,2,0,0,64,68,10,9,367,493,27,45,268,27,38,392,2,19,0,0,17,99,30,101,6,63,4,31,3,3,5,6,1,0,1,0,0,0,26:21,33:39
2017,1,2017-09-10,4:25 PM,False,Seahawks,Packers,9,17,12,26,8,16,3,8,1,2,3,12,9,16,0,0,0,0,48,74,10,10,225,370,14,27,135,28,42,286,3,23,4,25,18,90,28,84,8,50,8,70,0,2,1,1,1,0,0,1,0,0,20:47,39:13
2017,2,2017-09-17,8:30 PM,False,Packers,Falcons,23,34,24,19,18,12,4,7,2,0,5,12,5,11,3,3,0,0,68,58,11,9,367,364,33,50,308,19,28,223,3,35,3,29,15,59,27,141,10,70,6,34,2,3,3,3,1,0,1,0,0,2,31:23,28:37
2017,3,2017-09-24,4:25 PM,False,Bengals,Packers,24,27,21,22,13,15,6,4,2,3,4,12,7,15,0,0,0,0,60,65,11,12,301,344,21,27,191,28,42,280,3,21,6,33,30,110,17,64,7,68,4,33,2,2,3,5,1,0,0,1,2,0,34:17,29:21
2017,4,2017-09-28,8:25 PM,False,Bears,Packers,14,35,20,17,11,9,7,5,2,3,5,12,7,14,2,2,1,1,64,53,11,11,308,260,21,33,205,19,27,169,1,13,2,10,30,103,24,91,8,62,7,55,2,2,5,5,2,0,2,0,0,0,31:51,28:09
2017,5,2017-10-08,4:25 PM,False,Packers,Cowboys,35,31,25,26,13,15,9,10,3,1,3,7,7,12,1,1,3,3,58,72,7,9,342,408,19,29,182,25,36,245,4,39,1,6,25,160,35,163,6,38,7,70,4,5,4,4,1,2,0,1,2,0,24:54,35:06
2017,6,2017-10-15,1:00 PM,False,Packers,Vikings,10,23,14,24,11,13,2,7,1,4,4,17,4,12,2,3,0,1,65,70,12,13,227,351,20,37,155,24,38,239,4,20,0,0,24,72,32,112,8,92,7,65,1,3,1,3,0,1,3,1,0,0,27:51,32:09
2017,7,2017-10-22,1:00 PM,False,Saints,Packers,26,17,25,16,16,4,7,8,2,4,8,15,4,11,1,1,0,0,75,50,11,10,485,260,27,38,324,12,25,79,1,7,1,8,36,161,24,181,7,80,8,54,2,3,1,1,0,0,2,1,0,0,36:56,23:04
2017,9,2017-11-06,8:30 PM,False,Lions,Packers,30,17,24,21,19,13,4,7,1,1,8,13,2,9,0,0,0,2,67,58,8,9,417,311,26,33,353,26,38,233,1,8,3,12,33,64,17,78,2,19,2,20,2,4,2,3,1,0,0,0,0,0,36:55,23:05
2017,10,2017-11-12,1:00 PM,False,Packers,Bears,23,16,18,14,10,12,6,1,2,1,7,16,4,14,1,1,0,1,65,57,11,11,342,323,18,25,182,21,35,268,3,30,5,29,37,160,17,55,5,35,8,78,1,3,0,0,0,1,0,0,0,0,33:53,26:07
2017,11,2017-11-19,1:00 PM,False,Ravens,Packers,23,0,14,16,7,11,4,5,3,0,3,14,4,13,1,1,1,4,57,67,14,13,219,265,22,28,161,21,36,190,3,22,6,49,26,58,25,75,3,30,5,53,1,3,0,1,0,2,1,3,0,0,30:03,29:57
2017,12,2017-11-26,8:30 PM,False,Packers,Steelers,28,31,15,28,8,21,6,6,1,1,6,13,8,13,1,1,1,1,54,70,11,11,307,462,17,26,227,33,45,341,4,18,1,10,24,80,24,121,3,27,5,45,1,1,3,3,0,1,0,2,0,0,26:24,33:36
2017,13,2017-12-03,1:00 PM,False,Buccaneers,Packers,20,26,25,16,16,5,8,10,1,1,9,16,5,12,0,0,0,0,74,53,10,11,395,276,21,32,230,13,22,77,7,40,2,7,35,165,29,199,8,74,7,47,1,3,1,3,1,0,0,1,0,2,37:17,26:44
2017,14,2017-12-10,1:00 PM,False,Packers,Browns,27,21,24,17,14,12,7,5,3,0,8,16,7,13,2,3,0,0,74,57,10,10,341,345,35,46,256,20,28,209,1,9,2,5,27,85,27,136,3,20,6,45,2,3,3,3,0,0,0,2,0,0,36:17,28:38
2017,15,2017-12-17,1:00 PM,False,Packers,Panthers,24,31,24,29,13,15,9,11,2,3,4,11,6,12,2,3,0,0,67,70,11,11,384,387,26,45,264,20,31,236,3,26,1,6,19,120,38,151,6,28,5,40,1,2,3,4,1,0,3,0,0,0,26:03,33:57
2017,16,2017-12-23,8:30 PM,False,Vikings,Packers,16,0,15,12,9,6,5,5,1,1,4,15,4,15,0,0,0,4,61,65,12,12,236,239,14,25,124,17,40,126,3,15,1,4,33,112,24,113,2,10,6,79,1,3,0,2,0,0,0,2,0,0,31:37,28:23
2017,17,2017-12-31,1:00 PM,False,Packers,Lions,11,35,17,18,10,12,4,4,3,2,4,14,4,12,1,2,0,0,63,54,13,13,256,356,20,32,153,20,29,305,4,40,2,18,27,103,23,51,8,68,5,62,1,1,2,4,2,0,2,0,0,0,31:47,28:13
2018,1,2018-09-09,8:20 PM,False,Bears,Packers,23,24,18,16,8,14,7,2,3,0,7,17,5,13,0,2,0,1,66,59,10,12,294,370,23,35,155,24,37,301,4,16,4,40,27,139,18,69,5,35,8,72,1,4,1,2,1,1,0,1,2,0,33:22,26:38
2018,2,2018-09-16,1:00 PM,False,Vikings,Packers,29,29,24,24,20,11,3,9,1,4,7,14,4,13,0,0,0,0,68,70,13,12,480,351,35,48,412,30,42,253,2,13,4,28,18,68,24,98,8,70,7,54,2,3,1,5,0,0,1,0,0,1,31:52,38:08
2018,3,2018-09-23,1:00 PM,False,Packers,Commanders,17,31,19,20,11,7,7,9,1,4,6,14,5,11,0,2,0,0,66,55,12,12,340,386,27,45,240,12,20,220,4,25,0,0,17,100,35,166,11,115,6,66,1,2,3,5,1,0,0,1,0,0,30:55,29:05
2018,4,2018-09-30,1:00 PM,False,Bills,Packers,0,22,11,22,6,12,2,9,3,1,3,16,11,19,0,0,0,1,56,74,12,12,145,423,16,33,87,22,40,282,7,64,2,16,16,58,32,141,3,20,5,60,0,0,2,3,1,1,2,1,0,0,25:23,34:37
2018,5,2018-10-07,1:00 PM,False,Packers,Lions,23,31,30,18,23,9,6,6,1,3,3,10,5,13,2,2,0,0,76,57,11,12,521,264,32,52,423,14,26,170,4,19,3,13,20,98,28,94,12,112,8,71,3,4,4,4,3,0,0,0,0,0,33:20,26:40
2018,6,2018-10-15,8:15 PM,False,49ers,Packers,30,33,18,26,8,17,9,8,1,1,2,9,4,13,0,0,1,2,55,70,12,12,401,521,16,23,227,25,46,405,2,18,3,20,30,174,21,116,2,10,6,54,1,1,3,6,2,0,1,0,0,0,28:52,31:08
2018,8,2018-10-28,4:25 PM,False,Packers,Rams,27,29,16,23,11,18,5,4,0,1,2,9,8,18,0,0,1,1,52,75,13,13,359,416,18,30,253,20,36,281,3,33,5,26,19,106,34,135,2,10,2,15,1,1,2,4,1,0,0,0,0,0,25:50,34:10
2018,9,2018-11-04,8:20 PM,False,Packers,Patriots,17,31,22,28,14,13,6,11,2,4,6,13,4,11,0,1,0,1,69,69,10,11,367,433,24,43,250,23,36,310,1,9,2,21,25,117,31,123,7,63,5,30,2,3,3,5,1,0,0,0,0,0,32:34,27:26
2018,10,2018-11-11,4:25 PM,False,Dolphins,Packers,12,31,19,21,11,11,6,10,2,0,4,14,4,10,3,4,1,2,66,55,10,9,294,377,23,37,163,19,28,182,6,50,2,17,23,131,25,195,3,10,6,45,0,3,4,4,1,1,1,0,0,0,32:08,27:52
2018,11,2018-11-15,8:20 PM,False,Packers,Seahawks,24,27,14,23,11,12,3,9,0,2,3,11,6,15,0,0,2,2,48,69,11,12,359,378,21,30,311,21,31,205,5,21,3,20,13,48,35,173,5,80,6,30,1,2,3,5,0,1,0,0,0,0,25:42,34:18
2018,12,2018-11-25,8:20 PM,False,Packers,Vikings,17,24,14,22,8,18,5,4,1,0,2,10,7,14,0,1,0,1,51,69,10,12,254,416,17,28,172,29,38,325,4,26,2,17,19,82,29,91,4,20,6,55,2,2,1,3,1,0,0,0,0,0,25:23,34:37
2018,13,2018-12-02,1:00 PM,False,Cardinals,Packers,20,17,18,22,8,15,8,6,2,1,5,13,3,14,0,0,2,2,57,74,11,11,315,325,11,26,133,31,50,227,2,16,1,6,29,182,23,98,7,49,7,43,2,2,2,3,0,0,0,0,0,0,27:34,32:26
2018,14,2018-12-09,1:00 PM,False,Falcons,Packers,20,34,22,23,16,11,5,6,1,6,3,12,7,13,3,3,0,0,68,61,10,10,344,300,28,42,237,21,32,162,2,25,4,34,24,107,25,138,13,101,6,37,3,5,1,1,1,0,1,0,0,2,30:49,29:11
2018,15,2018-12-16,1:00 PM,False,Packers,Bears,17,24,19,19,15,11,4,6,0,2,5,14,3,10,1,1,0,1,66,58,11,11,323,332,25,42,235,20,28,232,5,39,1,3,19,88,29,100,7,48,4,24,1,4,3,4,0,1,1,0,0,0,29:37,30:23
2018,16,2018-12-23,1:00 PM,False,Packers,Jets,44,38,35,23,19,18,9,4,7,1,5,12,3,11,2,2,2,2,79,57,13,12,540,370,37,55,413,24,35,323,4,29,2,18,20,127,20,47,10,86,16,172,4,5,3,5,1,0,0,0,0,1,34:19,29:18
2018,17,2018-12-30,1:00 PM,False,Lions,Packers,31,0,25,9,16,5,7,3,2,1,7,14,5,16,1,1,1,3,72,56,10,10,402,175,21,33,272,19,40,129,1,2,3,29,38,130,13,46,3,34,5,38,3,3,0,0,0,0,0,1,0,0,36:54,23:06
2019,1,2019-09-05,8:20 PM,False,Packers,Bears,10,3,13,16,10,10,1,3,2,3,2,12,3,15,0,0,0,2,57,65,13,12,213,254,18,30,166,26,45,208,5,37,5,20,22,47,15,46,10,71,10,107,1,2,0,1,0,0,0,1,0,0,31:03,28:57
2019,2,2019-09-15,1:00 PM,False,Vikings,Packers,16,21,15,20,6,12,8,7,1,1,4,13,5,15,0,0,0,1,60,69,15,14,421,335,14,32,223,22,34,191,1,7,2,18,27,198,33,144,8,100,6,35,0,2,3,3,2,2,2,0,0,0,25:54,34:06
2019,3,2019-09-22,1:00 PM,False,Broncos,Packers,16,27,20,16,12,8,8,7,0,1,8,15,2,9,1,2,0,0,73,52,11,11,310,312,20,29,161,17,29,235,6,52,0,0,38,149,23,77,3,27,7,53,2,3,2,2,2,0,1,0,0,0,35:34,24:26
2019,4,2019-09-26,8:20 PM,False,Eagles,Packers,34,27,24,31,12,19,10,4,2,8,5,9,6,11,0,0,0,1,60,74,11,10,336,491,16,27,160,34,53,414,0,0,1,8,33,176,20,77,9,93,5,50,4,4,3,7,0,1,0,1,0,0,27:39,32:21
2019,5,2019-10-06,4:25 PM,False,Packers,Cowboys,34,24,24,32,9,19,11,9,4,4,3,12,2,8,0,0,0,0,65,68,13,13,335,563,22,34,215,27,44,441,2,23,3,22,29,120,21,122,9,78,11,124,4,5,1,3,0,0,0,3,0,0,36:43,23:17
2019,6,2019-10-14,8:15 PM,False,Lions,Packers,22,23,13,22,10,13,3,4,0,5,3,13,4,12,1,1,0,0,55,69,11,10,299,447,18,32,243,24,39,277,3,22,1,6,20,56,29,170,8,50,6,48,1,3,1,4,0,2,0,1,0,0,26:56,33:04
2019,7,2019-10-20,1:00 PM,False,Raiders,Packers,24,42,21,22,16,15,5,5,0,2,7,11,6,10,0,1,0,0,62,55,10,10,484,481,24,31,329,25,31,421,0,0,1,8,31,155,23,60,8,97,3,20,3,6,3,3,1,0,1,0,0,0,29:36,30:24
2019,8,2019-10-27,8:20 PM,False,Packers,Chiefs,31,24,21,21,15,16,5,4,1,1,8,13,6,11,0,0,0,0,64,58,10,9,374,337,23,33,256,24,36,249,5,49,2,18,26,118,20,88,4,25,3,30,3,4,1,2,0,1,0,0,0,0,33:13,26:47
2019,9,2019-11-03,4:25 PM,False,Packers,Chargers,11,26,13,24,11,13,1,11,1,0,2,10,5,11,0,1,1,1,49,68,8,9,184,442,23,35,139,21,28,283,3,22,2,11,11,45,38,159,8,45,5,45,1,1,2,5,0,0,0,0,0,0,24:09,35:51
2019,10,2019-11-10,4:25 PM,False,Panthers,Packers,16,24,26,23,19,9,6,10,1,4,4,10,4,9,1,1,0,0,69,58,9,9,401,388,28,43,281,17,29,225,3,26,2,8,23,120,27,163,5,46,10,64,2,4,3,4,1,0,1,0,0,0,28:38,31:22
